date - Annee,date - Trimestre,date - Mois,date - Jour,away_score,away_team,city,comp_sorted,competition.1,competition.2,country,full_score,home_score,home_team,neutral,score_difference,stadium,total_score,winner,world_cup
1871,Trim 1,mars,27,0,England,Edinburgh,Scotland v England International,1871,Scotland v England International,Scotland,1 - 0,1,Scotland,0,1,Raeburn Place,1,Scotland,0
1872,Trim 1,fevrier,5,1,Scotland,London,Home Nations,1871e72,Home Nations International,England,2 - 1,2,England,0,1,The Oval,3,England,0
1873,Trim 1,mars,3,0,England,Glasgow,Home Nations,1872e73,Home Nations International,Scotland,0 - 0,0,Scotland,0,0,West of Scotland F.C.,0,Draw,0
1874,Trim 1,fevrier,23,0,Scotland,London,Home Nations,1873e74,Home Nations International,England,1 - 0,1,England,0,1,The Oval,1,England,0
1875,Trim 1,fevrier,15,0,Ireland,London,Home Nations,1874e75,Home Nations rugby union matches,England,2 - 0,2,England,0,2,The Oval,2,England,0
1875,Trim 1,mars,8,0,England,Edinburgh,Home Nations,1874e75,Home Nations International,Scotland,0 - 0,0,Scotland,0,0,Raeburn Place,0,Draw,0
1875,Trim 4,decembre,13,1,England,Dublin,Home Nations,1875e76,Home Nations rugby union matches,Ireland,0 - 1,0,Ireland,0,-1,Rathmines,1,England,0
1876,Trim 1,mars,6,0,Scotland,London,Home Nations,1875e76,Home Nations International,England,1 - 0,1,England,0,1,The Oval,1,England,0
1877,Trim 1,fevrier,5,0,Ireland,London,Home Nations,1876e77,Home Nations rugby union matches,England,2 - 0,2,England,0,2,The Oval,2,England,0
1877,Trim 1,fevrier,19,6,Scotland,Belfast,Home Nations,1876e77,Home Nations rugby union matches,Ireland,0 - 6,0,Ireland,0,-6,Ormeau Cricket Ground,6,Scotland,0
1877,Trim 1,mars,5,0,England,Edinburgh,Home Nations,1876e77,Home Nations International,Scotland,1 - 0,1,Scotland,0,1,Raeburn Place,1,Scotland,0
1878,Trim 1,mars,4,0,Scotland,London,Home Nations,1877e78,Home Nations International,England,0 - 0,0,England,0,0,The Oval,0,Draw,0
1878,Trim 1,mars,11,2,England,Dublin,Home Nations,1877e78,Home Nations rugby union matches,Ireland,0 - 2,0,Ireland,0,-2,Lansdowne Road,2,England,0
1879,Trim 1,fevrier,17,2,Scotland,Belfast,Home Nations,1878e79,Home Nations rugby union matches,Ireland,0 - 2,0,Ireland,0,-2,Ormeau Cricket Ground,2,Scotland,0
1879,Trim 1,mars,10,1,England,Edinburgh,Home Nations,1878e79,Home Nations International,Scotland,1 - 1,1,Scotland,0,0,Raeburn Place,2,Draw,0
1879,Trim 1,mars,24,0,Ireland,London,Home Nations,1878e79,Home Nations rugby union matches,England,3 - 0,3,England,0,3,The Oval,3,England,0
1880,Trim 1,janvier,30,1,England,Dublin,Home Nations,1879e80,Home Nations rugby union matches,Ireland,0 - 1,0,Ireland,0,-1,Lansdowne Road,1,England,0
1880,Trim 1,fevrier,14,0,Ireland,Glasgow,Home Nations,1879e80,Home Nations rugby union matches,Scotland,3 - 0,3,Scotland,0,3,Hamilton Crescent,3,Scotland,0
1880,Trim 1,fevrier,28,1,Scotland,Manchester,Home Nations,1879e80,Home Nations International,England,2 - 1,2,England,0,1,Whalley Range,3,England,0
1881,Trim 1,fevrier,10,0,Ireland,Manchester,Home Nations,1880e81,Home Nations rugby union matches,England,2 - 0,2,England,0,2,Whalley Range,2,England,0
1881,Trim 1,fevrier,19,0,Scotland,Belfast,Home Nations,1880e81,Home Nations rugby union matches,Ireland,1 - 0,1,Ireland,0,1,Ormeau Cricket Ground,1,Ireland,0
1881,Trim 1,fevrier,19,0,Wales,Blackheath,tour,,tour,England,8 - 0,8,England,0,8,Richardson's Field,8,England,0
1881,Trim 1,mars,19,1,England,Edinburgh,Home Nations,1880e81,Home Nations International,Scotland,1 - 1,1,Scotland,0,0,Raeburn Place,2,Draw,0
1882,Trim 1,janvier,28,2,Wales,Dublin,Home Nations,1881e82,Home Nations rugby union matches,Ireland,0 - 2,0,Ireland,0,-2,Lansdowne Road,2,Wales,0
1882,Trim 1,fevrier,6,0,England,Dublin,Home Nations,1881e82,Home Nations rugby union matches,Ireland,0 - 0,0,Ireland,0,0,Lansdowne Road,0,Draw,0
1882,Trim 1,fevrier,18,0,Ireland,Glasgow,Home Nations,1881e82,Home Nations rugby union matches,Scotland,1 - 0,1,Scotland,0,1,Hamilton Crescent,1,Scotland,0
1882,Trim 1,mars,4,1,Scotland,Manchester,Home Nations,1881e82,Home Nations International,England,0 - 1,0,England,0,-1,Whalley Range,1,Scotland,0
1882,Trim 4,decembre,16,2,England,Swansea,Home Nations,1883,Home Nations Championship,Wales,0 - 2,0,Wales,0,-2,St Helen's,2,England,0
1883,Trim 1,janvier,8,1,Wales,Edinburgh,Home Nations,1883,Home Nations Championship,Scotland,3 - 1,3,Scotland,0,2,Raeburn Place,4,Scotland,0
1883,Trim 1,fevrier,10,0,Ireland,Manchester,Home Nations,1883,Home Nations Championship,England,1 - 0,1,England,0,1,Whalley Range,1,England,0
1883,Trim 1,fevrier,17,1,Scotland,Belfast,Home Nations,1883,Home Nations Championship,Ireland,0 - 1,0,Ireland,0,-1,Ormeau Cricket Ground,1,Scotland,0
1883,Trim 1,mars,3,1,England,Edinburgh,Home Nations,1883,Home Nations Championship,Scotland,0 - 1,0,Scotland,0,-1,Raeburn Place,1,England,0
1884,Trim 1,janvier,5,1,Wales,Leeds,Home Nations,1884,Home Nations Championship,England,2 - 1,2,England,0,1,Cardigan Fields,3,England,0
1884,Trim 1,janvier,12,1,Scotland,Newport,Home Nations,1884,Home Nations Championship,Wales,0 - 1,0,Wales,0,-1,Rodney Parade,1,Scotland,0
1884,Trim 1,fevrier,4,1,England,Dublin,Home Nations,1884,Home Nations Championship,Ireland,0 - 1,0,Ireland,0,-1,Lansdowne Road,1,England,0
1884,Trim 1,fevrier,16,0,Ireland,Glasgow,Home Nations,1884,Home Nations Championship,Scotland,2 - 0,2,Scotland,0,2,Hamilton Crescent,2,Scotland,0
1884,Trim 1,mars,1,0,Scotland,Blackheath,Home Nations,1884,Home Nations Championship,England,1 - 0,1,England,0,1,Rectory Field,1,England,0
1884,Trim 2,avril,12,0,Ireland,Cardiff,Home Nations,1884,Home Nations Championship,Wales,1 - 0,1,Wales,0,1,National Stadium,1,Wales,0
1885,Trim 1,janvier,3,2,England,Swansea,Home Nations,1885,Home Nations Championship,Wales,1 - 2,1,Wales,0,-1,St Helen's,3,England,0
1885,Trim 1,janvier,10,0,Wales,Glasgow,Home Nations,1885,Home Nations Championship,Scotland,0 - 0,0,Scotland,0,0,Hamilton Crescent,0,Draw,0
1885,Trim 1,fevrier,7,0,Ireland,Manchester,Home Nations,1885,Home Nations Championship,England,1 - 0,1,England,0,1,Whalley Range,1,England,0
1885,Trim 1,mars,7,0,Ireland,Edinburgh,Home Nations,1885,Home Nations Championship,Scotland,1 - 0,1,Scotland,0,1,Raeburn Place,1,Scotland,0
1886,Trim 1,janvier,2,1,Wales,Blackheath,Home Nations,1886,Home Nations Championship,England,2 - 1,2,England,0,1,Rectory Field,3,England,0
1886,Trim 1,janvier,9,2,Scotland,Cardiff,Home Nations,1886,Home Nations Championship,Wales,0 - 2,0,Wales,0,-2,National Stadium,2,Scotland,0
1886,Trim 1,fevrier,6,1,England,Dublin,Home Nations,1886,Home Nations Championship,Ireland,0 - 1,0,Ireland,0,-1,Lansdowne Road,1,England,0
1886,Trim 1,fevrier,20,0,Ireland,Edinburgh,Home Nations,1886,Home Nations Championship,Scotland,4 - 0,4,Scotland,0,4,Raeburn Place,4,Scotland,0
1886,Trim 1,mars,13,0,England,Edinburgh,Home Nations,1886,Home Nations Championship,Scotland,0 - 0,0,Scotland,0,0,Raeburn Place,0,Draw,0
1887,Trim 1,janvier,8,0,England,Llanelli,Home Nations,1887,Home Nations Championship,Wales,0 - 0,0,Wales,0,0,Stradey Park,0,Draw,0
1887,Trim 1,fevrier,5,0,England,Dublin,Home Nations,1887,Home Nations Championship,Ireland,2 - 0,2,Ireland,0,2,Lansdowne Road,2,Ireland,0
1887,Trim 1,fevrier,19,2,Scotland,Belfast,Home Nations,1887,Home Nations Championship,Ireland,0 - 2,0,Ireland,0,-2,Ormeau Cricket Ground,2,Scotland,0
1887,Trim 1,fevrier,26,0,Wales,Edinburgh,Home Nations,1887,Home Nations Championship,Scotland,4 - 0,4,Scotland,0,4,Raeburn Place,4,Scotland,0
1887,Trim 1,mars,5,0,Scotland,Manchester,Home Nations,1887,Home Nations Championship,England,0 - 0,0,England,0,0,Whalley Range,0,Draw,0
1887,Trim 1,mars,12,1,Ireland,Birkenhead,Home Nations,1887,Home Nations Championship,England,0 - 1,0,Wales,1,-1,Birkenhead Park,1,Ireland,0
1888,Trim 1,fevrier,4,0,Scotland,Newport,Home Nations,1888,Home Nations Championship,Wales,1 - 0,1,Wales,0,1,Rodney Parade,1,Wales,0
1888,Trim 1,mars,3,0,Wales,Dublin,Home Nations,1888,Home Nations Championship,Ireland,2 - 0,2,Ireland,0,2,Lansdowne Road,2,Ireland,0
1888,Trim 1,mars,10,0,Ireland,Edinburgh,Home Nations,1888,Home Nations Championship,Scotland,1 - 0,1,Scotland,0,1,Raeburn Place,1,Scotland,0
1889,Trim 1,fevrier,2,0,Wales,Edinburgh,Home Nations,1889,Home Nations Championship,Scotland,1 - 0,1,Scotland,0,1,Raeburn Place,1,Scotland,0
1889,Trim 1,fevrier,16,1,Scotland,Belfast,Home Nations,1889,Home Nations Championship,Ireland,0 - 1,0,Ireland,0,-1,Ormeau Cricket Ground,1,Scotland,0
1889,Trim 1,mars,2,1,Ireland,Swansea,Home Nations,1889,Home Nations Championship,Wales,0 - 1,0,Wales,0,-1,St Helens,1,Ireland,0
1890,Trim 1,fevrier,1,8,Scotland,Cardiff,Home Nations,1890,Home Nations Championship,Wales,2 - 8,2,Wales,0,-6,National Stadium,10,Scotland,0
1890,Trim 1,fevrier,15,1,Wales,Dewsbury,Home Nations,1890,Home Nations Championship,England,0 - 1,0,England,0,-1,Crown Flatt,1,Wales,0
1890,Trim 1,fevrier,22,0,Ireland,Edinburgh,Home Nations,1890,Home Nations Championship,Scotland,5 - 0,5,Scotland,0,5,Raeburn Place,5,Scotland,0
1890,Trim 1,mars,1,3,Wales,Dublin,Home Nations,1890,Home Nations Championship,Ireland,3 - 3,3,Ireland,0,0,Lansdowne Road,6,Draw,0
1890,Trim 1,mars,1,6,England,Edinburgh,Home Nations,1890,Home Nations Championship,Scotland,0 - 6,0,Scotland,0,-6,Raeburn Place,6,England,0
1890,Trim 1,mars,15,0,Ireland,Blackheath,Home Nations,1890,Home Nations Championship,England,3 - 0,3,England,0,3,Rectory Field,3,England,0
1891,Trim 1,janvier,3,7,England,Newport,Home Nations,1891,Home Nations Championship,Wales,3 - 7,3,Wales,0,-4,Rodney Parade,10,England,0
1891,Trim 1,fevrier,7,0,Wales,Edinburgh,Home Nations,1891,Home Nations Championship,Scotland,15 - 0,15,Scotland,0,15,Raeburn Place,15,Scotland,0
1891,Trim 1,fevrier,7,9,England,Dublin,Home Nations,1891,Home Nations Championship,Ireland,0 - 9,0,Ireland,0,-9,Lansdowne Road,9,England,0
1891,Trim 1,fevrier,21,14,Scotland,Belfast,Home Nations,1891,Home Nations Championship,Ireland,0 - 14,0,Ireland,0,-14,Ormeau Cricket Ground,14,Scotland,0
1891,Trim 1,mars,7,4,Ireland,Llanelli,Home Nations,1891,Home Nations Championship,Wales,6 - 4,6,Wales,0,2,Stradey Park,10,Wales,0
1891,Trim 1,mars,7,9,Scotland,Richmond,Home Nations,1891,Home Nations Championship,England,3 - 9,3,England,0,-6,Athletic Ground,12,Scotland,0
1892,Trim 1,janvier,2,0,Wales,Blackheath,Home Nations,1892,Home Nations Championship,England,17 - 0,17,England,0,17,Rectory Field,17,England,0
1892,Trim 1,fevrier,6,0,Ireland,Manchester,Home Nations,1892,Home Nations Championship,England,7 - 0,7,England,0,7,Whalley Range,7,England,0
1892,Trim 1,fevrier,6,7,Scotland,Swansea,Home Nations,1892,Home Nations Championship,Wales,2 - 7,2,Wales,0,-5,St Helen's,9,Scotland,0
1892,Trim 1,fevrier,20,0,Ireland,Edinburgh,Home Nations,1892,Home Nations Championship,Scotland,2 - 0,2,Scotland,0,2,Raeburn Place,2,Scotland,0
1892,Trim 1,mars,5,0,Wales,Dublin,Home Nations,1892,Home Nations Championship,Ireland,9 - 0,9,Ireland,0,9,Lansdowne Road,9,Ireland,0
1892,Trim 1,mars,6,5,England,Edinburgh,Home Nations,1892,Home Nations Championship,Scotland,0 - 5,0,Scotland,0,-5,Raeburn Place,5,England,0
1893,Trim 1,janvier,7,11,England,Cardiff,Home Nations,1893,Home Nations Championship,Wales,12 - 11,12,Wales,0,1,Cardiff Arms Park,23,Wales,0
1893,Trim 1,fevrier,4,4,England,Dublin,Home Nations,1893,Home Nations Championship,Ireland,0 - 4,0,Ireland,0,-4,Lansdowne Road,4,England,0
1893,Trim 1,fevrier,4,9,Wales,Edinburgh,Home Nations,1893,Home Nations Championship,Scotland,0 - 9,0,Scotland,0,-9,Raeburn Place,9,Wales,0
1893,Trim 1,fevrier,18,0,Scotland,Belfast,Home Nations,1893,Home Nations Championship,Ireland,0 - 0,0,Ireland,0,0,Ormeau Cricket Ground,0,Draw,0
1893,Trim 1,mars,4,8,Scotland,Leeds,Home Nations,1893,Home Nations Championship,England,0 - 8,0,England,0,-8,Headingley,8,Scotland,0
1893,Trim 1,mars,11,0,Ireland,Llanelli,Home Nations,1893,Home Nations Championship,Wales,2 - 0,2,Wales,0,2,Stradey Park,2,Wales,0
1894,Trim 1,janvier,4,3,Wales,Birkenhead,Home Nations,1894,Home Nations Championship,England,24 - 3,24,England,0,21,Upper Park,27,England,0
1894,Trim 1,fevrier,3,0,Scotland,Newport,Home Nations,1894,Home Nations Championship,Wales,7 - 0,7,Wales,0,7,Rodney Parade,7,Wales,0
1894,Trim 1,fevrier,3,7,Ireland,Blackheath,Home Nations,1894,Home Nations Championship,England,5 - 7,5,England,0,-2,Rectory Field,12,Ireland,0
1894,Trim 1,fevrier,24,0,Scotland,Dublin,Home Nations,1894,Home Nations Championship,Ireland,5 - 0,5,Ireland,0,5,Lansdowne Road,5,Ireland,0
1894,Trim 1,mars,10,0,Wales,Belfast,Home Nations,1894,Home Nations Championship,Ireland,3 - 0,3,Ireland,0,3,Ulster Cricket Ground,3,Ireland,0
1894,Trim 1,mars,17,0,England,Edinburgh,Home Nations,1894,Home Nations Championship,Scotland,6 - 0,6,Scotland,0,6,Raeburn Place,6,Scotland,0
1895,Trim 1,janvier,5,14,England,Swansea,Home Nations,1895,Home Nations Championship,Wales,6 - 14,6,Wales,0,-8,St Helen's,20,England,0
1895,Trim 1,janvier,26,4,Wales,Edinburgh,Home Nations,1895,Home Nations Championship,Scotland,5 - 4,5,Scotland,0,1,Raeburn Place,9,Scotland,0
1895,Trim 1,fevrier,2,6,England,Dublin,Home Nations,1895,Home Nations Championship,Ireland,3 - 6,3,Ireland,0,-3,Lansdowne Road,9,England,0
1895,Trim 1,mars,2,0,Ireland,Edinburgh,Home Nations,1895,Home Nations Championship,Scotland,6 - 0,6,Scotland,0,6,Raeburn Place,6,Scotland,0
1895,Trim 1,mars,9,6,Scotland,Richmond,Home Nations,1895,Home Nations Championship,England,3 - 6,3,England,0,-3,Athletic Ground,9,Scotland,0
1895,Trim 1,mars,16,3,Ireland,Cardiff,Home Nations,1895,Home Nations Championship,Wales,5 - 3,5,Wales,0,2,National Stadium,8,Wales,0
1896,Trim 1,janvier,4,0,Wales,Blackheath,Home Nations,1896,Home Nations Championship,England,25 - 0,25,England,0,25,Rectory Field,25,England,0
1896,Trim 1,janvier,25,0,Scotland,Cardiff,Home Nations,1896,Home Nations Championship,Wales,6 - 0,6,Wales,0,6,National Stadium,6,Wales,0
1896,Trim 1,fevrier,1,10,Ireland,Leeds,Home Nations,1896,Home Nations Championship,England,4 - 10,4,England,0,-6,Meanwood Road,14,Ireland,0
1896,Trim 1,fevrier,15,0,Scotland,Dublin,Home Nations,1896,Home Nations Championship,Ireland,0 - 0,0,Ireland,0,0,Lansdowne Road,0,Draw,0
1896,Trim 1,mars,14,0,England,Glasgow,Home Nations,1896,Home Nations Championship,Scotland,11 - 0,11,Scotland,0,11,Hampden Park,11,Scotland,0
1896,Trim 1,mars,17,4,Wales,Dublin,Home Nations,1896,Home Nations Championship,Ireland,8 - 4,8,Ireland,0,4,Lansdowne Road,12,Ireland,0
1897,Trim 1,janvier,9,0,England,Newport,Home Nations,1897,Home Nations Championship,Wales,11 - 0,11,Wales,0,11,Rodney Parade,11,Wales,0
1897,Trim 1,fevrier,6,9,England,Dublin,Home Nations,1897,Home Nations Championship,Ireland,13 - 9,13,Ireland,0,4,Lansdowne Road,22,Ireland,0
1897,Trim 1,fevrier,20,3,Ireland,Edinburgh,Home Nations,1897,Home Nations Championship,Scotland,8 - 3,8,Scotland,0,5,Powderhall Stadium,11,Scotland,0
1897,Trim 1,mars,13,3,Scotland,Manchester,Home Nations,1897,Home Nations Championship,England,12 - 3,12,England,0,9,Fallowfield,15,England,0
1898,Trim 1,fevrier,5,9,Ireland,Richmond,Home Nations,1898,Home Nations Championship,England,6 - 9,6,England,0,-3,Athletic Ground,15,Ireland,0
1898,Trim 1,fevrier,19,8,Scotland,Dublin,Home Nations,1898,Home Nations Championship,Ireland,0 - 8,0,Ireland,0,-8,Lansdowne Road,8,Scotland,0
1898,Trim 1,mars,12,3,England,Edinburgh,Home Nations,1898,Home Nations Championship,Scotland,3 - 3,3,Scotland,0,0,Powderhall,6,Draw,0
1898,Trim 1,mars,19,11,Wales,Limerick,Home Nations,1898,Home Nations Championship,Ireland,3 - 11,3,Ireland,0,-8,Thomond Park,14,Wales,0
1898,Trim 2,avril,2,7,Wales,Blackheath,Home Nations,1898,Home Nations Championship,England,14 - 7,14,England,0,7,Rectory Field,21,England,0
1899,Trim 1,janvier,7,3,England,Swansea,Home Nations,1899,Home Nations Championship,Wales,26 - 3,26,Wales,0,23,St Helen's,29,Wales,0
1899,Trim 1,fevrier,4,0,England,Dublin,Home Nations,1899,Home Nations Championship,Ireland,6 - 0,6,Ireland,0,6,Lansdowne Road,6,Ireland,0
1899,Trim 1,fevrier,18,9,Ireland,Edinburgh,Home Nations,1899,Home Nations Championship,Scotland,3 - 9,3,Scotland,0,-6,Inverleith,12,Ireland,0
1899,Trim 1,mars,4,10,Wales,Edinburgh,Home Nations,1899,Home Nations Championship,Scotland,21 - 10,21,Scotland,0,11,Inverleith,31,Scotland,0
1899,Trim 1,mars,11,5,Scotland,Blackheath,Home Nations,1899,Home Nations Championship,England,0 - 5,0,England,0,-5,Rectory Field,5,Scotland,0
1899,Trim 1,mars,18,3,Ireland,Cardiff,Home Nations,1899,Home Nations Championship,Wales,0 - 3,0,Wales,0,-3,National Stadium,3,Ireland,0
1900,Trim 1,janvier,6,13,Wales,Gloucester,Home Nations,1900,Home Nations Championship,England,3 - 13,3,England,0,-10,Kingsholm,16,Wales,0
1900,Trim 1,janvier,27,3,Scotland,Swansea,Home Nations,1900,Home Nations Championship,Wales,12 - 3,12,Wales,0,9,St Helen's,15,Wales,0
1900,Trim 1,fevrier,3,4,Ireland,Richmond,Home Nations,1900,Home Nations Championship,England,15 - 4,15,England,0,11,Athletic Ground,19,England,0
1900,Trim 1,fevrier,24,0,Scotland,Dublin,Home Nations,1900,Home Nations Championship,Ireland,0 - 0,0,Ireland,0,0,Lansdowne Road,0,Draw,0
1900,Trim 1,mars,10,0,England,Edinburgh,Home Nations,1900,Home Nations Championship,Scotland,0 - 0,0,Scotland,0,0,Inverleith,0,Draw,0
1900,Trim 1,mars,17,3,Wales,Balmoral,Home Nations,1900,Home Nations Championship,Ireland,0 - 3,0,Ireland,0,-3,Balmoral Showgrounds,3,Wales,0
1901,Trim 1,janvier,5,0,England,Cardiff,Home Nations,1901,Home Nations Championship,Wales,13 - 0,13,Wales,0,13,Cardiff Arms Park,13,Wales,0
1901,Trim 1,fevrier,9,6,England,Dublin,Home Nations,1901,Home Nations Championship,Ireland,10 - 6,10,Ireland,0,4,Lansdowne Road,16,Ireland,0
1901,Trim 1,fevrier,9,8,Wales,Edinburgh,Home Nations,1901,Home Nations Championship,Scotland,18 - 8,18,Scotland,0,10,Inverleith,26,Scotland,0
1901,Trim 1,fevrier,23,5,Ireland,Edinburgh,Home Nations,1901,Home Nations Championship,Scotland,9 - 5,9,Scotland,0,4,Inverleith,14,Scotland,0
1901,Trim 1,mars,9,18,Scotland,Blackheath,Home Nations,1901,Home Nations Championship,England,3 - 18,3,England,0,-15,Rectory Field,21,Scotland,0
1901,Trim 1,mars,16,9,Ireland,Swansea,Home Nations,1901,Home Nations Championship,Wales,10 - 9,10,Wales,0,1,St Helen's,19,Wales,0
1902,Trim 1,janvier,11,9,Wales,Blackheath,Home Nations,1902,Home Nations Championship,England,8 - 9,8,England,0,-1,Rectory Field,17,Wales,0
1902,Trim 1,fevrier,1,5,Scotland,Cardiff,Home Nations,1902,Home Nations Championship,Wales,14 - 5,14,Wales,0,9,National Stadium,19,Wales,0
1902,Trim 1,fevrier,8,3,Ireland,Leicester,Home Nations,1902,Home Nations Championship,England,6 - 3,6,England,0,3,Welford Road,9,England,0
1902,Trim 1,fevrier,22,0,Scotland,Belfast,Home Nations,1902,Home Nations Championship,Ireland,5 - 0,5,Ireland,0,5,Balmoral Showgrounds,5,Ireland,0
1902,Trim 1,mars,6,15,Wales,Dublin,Home Nations,1902,Home Nations Championship,Ireland,0 - 15,0,Ireland,0,-15,Lansdowne Road,15,Wales,0
1902,Trim 1,mars,15,6,England,Edinburgh,Home Nations,1902,Home Nations Championship,Scotland,3 - 6,3,Scotland,0,-3,Inverleith,9,England,0
1903,Trim 1,janvier,10,5,England,Swansea,Home Nations,1903,Home Nations Championship,Wales,21 - 5,21,Wales,0,16,St Helen's,26,Wales,0
1903,Trim 1,fevrier,7,0,Wales,Edinburgh,Home Nations,1903,Home Nations Championship,Scotland,6 - 0,6,Scotland,0,6,Inverleith,6,Scotland,0
1903,Trim 1,fevrier,14,0,England,Dublin,Home Nations,1903,Home Nations Championship,Ireland,6 - 0,6,Ireland,0,6,Lansdowne Road,6,Ireland,0
1903,Trim 1,fevrier,28,0,Ireland,Edinburgh,Home Nations,1903,Home Nations Championship,Scotland,3 - 0,3,Scotland,0,3,Inverleith,3,Scotland,0
1903,Trim 1,mars,14,0,Ireland,Cardiff,Home Nations,1903,Home Nations Championship,Wales,18 - 0,18,Wales,0,18,National Stadium,18,Wales,0
1903,Trim 1,mars,21,10,Scotland,Richmond,Home Nations,1903,Home Nations Championship,England,6 - 10,6,England,0,-4,Athletic Ground,16,Scotland,0
1903,Trim 3,aout,15,22,New Zealand,Sydney,New Zealand tour,1903,New Zealand tour of Australia,Australia,3 - 22,3,Australia,0,-19,Sydney Cricket Ground,25,New Zealand,0
1904,Trim 1,janvier,9,14,Wales,Leicester,Home Nations,1904,Home Nations Championship,England,14 - 14,14,England,0,0,Welford Road,28,Draw,0
1904,Trim 1,fevrier,6,3,Scotland,Swansea,Home Nations,1904,Home Nations Championship,Wales,21 - 3,21,Wales,0,18,St Helen's,24,Wales,0
1904,Trim 1,fevrier,13,0,Ireland,Blackheath,Home Nations,1904,Home Nations Championship,England,19 - 0,19,England,0,19,Rectory Field,19,England,0
1904,Trim 1,fevrier,27,19,Scotland,Dublin,Home Nations,1904,Home Nations Championship,Ireland,3 - 19,3,Ireland,0,-16,Lansdowne Road,22,Scotland,0
1904,Trim 1,mars,12,12,Wales,Balmoral,Home Nations,1904,Home Nations Championship,Ireland,14 - 12,14,Ireland,0,2,Balmoral Showgrounds,26,Ireland,0
1904,Trim 1,mars,19,3,England,Edinburgh,Home Nations,1904,Home Nations Championship,Scotland,6 - 3,6,Scotland,0,3,Inverleith,9,Scotland,0
1905,Trim 1,janvier,14,0,England,Cardiff,Home Nations,1905,Home Nations Championship,Wales,25 - 0,25,Wales,0,25,Cardiff Arms Park,25,Wales,0
1905,Trim 1,fevrier,4,6,Wales,Edinburgh,Home Nations,1905,Home Nations Championship,Scotland,3 - 6,3,Scotland,0,-3,Inverleith,9,Wales,0
1905,Trim 1,fevrier,11,3,England,Cork,Home Nations,1905,Home Nations Championship,Ireland,17 - 3,17,Ireland,0,14,Mardyke,20,Ireland,0
1905,Trim 1,fevrier,25,11,Ireland,Edinburgh,Home Nations,1905,Home Nations Championship,Scotland,5 - 11,5,Scotland,0,-6,Inverleith,16,Ireland,0
1905,Trim 1,mars,11,3,Ireland,Swansea,Home Nations,1905,Home Nations Championship,Wales,10 - 3,10,Wales,0,7,St Helen's,13,Wales,0
1905,Trim 1,mars,18,8,Scotland,Richmond,Home Nations,1905,Home Nations Championship,England,0 - 8,0,England,0,-8,Athletic Ground,8,Scotland,0
1905,Trim 3,septembre,2,3,Australia,Dunedin,Australia tour,1905,Australia tour of New Zealand,New Zealand,14 - 3,14,New Zealand,0,11,Tahuna Park,17,New Zealand,0
1905,Trim 4,novembre,18,12,New Zealand,Edinburgh,New Zealand tour,1905-06,New Zealand tour,Scotland,7 - 12,7,Scotland,0,-5,Inverleith,19,New Zealand,0
1905,Trim 4,novembre,25,15,New Zealand,Dublin,New Zealand tour,,The Original All Blacks,Ireland,0 - 15,0,Ireland,0,-15,Lansdowne Road,15,New Zealand,0
1905,Trim 4,decembre,2,15,New Zealand,London,New Zealand tour,,The The Original All Blacks tour,England,0 - 15,0,England,0,-15,Crystal Palace,15,New Zealand,0
1905,Trim 4,decembre,16,0,New Zealand,Cardiff,New Zealand tour,,The The Original All Blacks tour,Wales,3 - 0,3,Wales,0,3,Cardiff Arms Park,3,Wales,0
1906,Trim 1,janvier,1,38,New Zealand,Paris,New Zealand tour,,The Original All Blacks,France,8 - 38,8,France,0,-30,Parc des Princes,46,New Zealand,0
1906,Trim 1,janvier,13,16,Wales,Richmond,Home Nations,1906,Home Nations Championship,England,3 - 16,3,England,0,-13,Athletic Ground,19,Wales,0
1906,Trim 1,fevrier,3,3,Scotland,Cardiff,Home Nations,1906,Home Nations Championship,Wales,9 - 3,9,Wales,0,6,National Stadium,12,Wales,0
1906,Trim 1,fevrier,10,16,Ireland,Leicester,Home Nations,1906,Home Nations Championship,England,6 - 16,6,England,0,-10,Welford Road,22,Ireland,0
1906,Trim 1,fevrier,24,13,Scotland,Dublin,Home Nations,1906,Home Nations Championship,Ireland,6 - 13,6,Ireland,0,-7,Lansdowne Road,19,Scotland,0
1906,Trim 1,mars,10,6,Wales,Balmoral,Home Nations,1906,Home Nations Championship,Ireland,11 - 6,11,Ireland,0,5,Balmoral Showgrounds,17,Ireland,0
1906,Trim 1,mars,17,9,England,Edinburgh,Home Nations,1906,Home Nations Championship,Scotland,3 - 9,3,Scotland,0,-6,Inverleith,12,England,0
1906,Trim 1,mars,22,35,England,Paris,,,,France,8 - 35,8,France,0,-27,Parc des Princes,43,England,0
1906,Trim 4,novembre,17,0,South Africa,Glasgow,South Africa tour,1906e07,South Africa rugby union tour of Europe,Scotland,6 - 0,6,Scotland,0,6,Hampden Park,6,Scotland,0
1906,Trim 4,novembre,24,15,South Africa,Belfast,South Africa tour,1906e07,South Africa rugby union tour of Europe,Ireland,12 - 15,12,Ireland,0,-3,Balmoral Showgrounds,27,South Africa,0
1906,Trim 4,decembre,1,11,South Africa,Swansea,South Africa tour,1906e07,South Africa tour of Europe,Wales,0 - 11,0,Wales,0,-11,St. Helen's,11,South Africa,0
1906,Trim 4,decembre,8,3,South Africa,London,South Africa tour,1906-07,South Africa rugby union tour of Europe,England,3 - 3,3,England,0,0,Crystal Palace,6,Draw,0
1907,Trim 1,janvier,5,13,France,Richmond,,,,England,41 - 13,41,England,0,28,Athletic Ground,54,England,0
