date - Annee,date - Trimestre,date - Mois,date - Jour,away_score,away_team,city,comp_sorted,competition.1,competition.2,country,full_score,home_score,home_team,neutral,score_difference,stadium,total_score,winner,world_cup
1960,Trim 2,avril,17,26,France,Treviso,Test Match,,Test Match,Italy,0 - 26,0,Italy,0,-26,Stadio Comunale di Monigo,26,France,0
1960,Trim 2,avril,30,10,Scotland,Port Elizabeth,,,,South Africa,18 - 10,18,South Africa,0,8,EPRU Stadium,28,South Africa,0
1960,Trim 2,juin,25,0,New Zealand,Johannesburg,New Zealand tour,1960,New Zealand tour,South Africa,13 - 0,13,South Africa,0,13,Ellis Park,13,South Africa,0
1960,Trim 3,juillet,23,11,New Zealand,Cape Town,New Zealand tour,1960,New Zealand tour,South Africa,3 - 11,3,South Africa,0,-8,Newlands,14,New Zealand,0
1960,Trim 3,juillet,23,37,France,Buenos Aires,France tour,1960,France tour of Argentina and Uruguay,Argentina,3 - 37,3,Argentina,0,-34,Ferro Carrill Oeste,40,France,0
1960,Trim 3,aout,6,12,France,Buenos Aires,France tour,1960,France tour of Argentina and Uruguay,Argentina,3 - 12,3,Argentina,0,-9,Ferro Carrill Oeste,15,France,0
1960,Trim 3,aout,13,11,New Zealand,Bloemfontein,New Zealand tour,1960,New Zealand tour,South Africa,11 - 11,11,South Africa,0,0,Free State Stadium,22,Draw,0
1960,Trim 3,aout,17,29,France,Buenos Aires,France tour,1960,France tour of Argentina and Uruguay,Argentina,6 - 29,6,Argentina,0,-23,Ferro Carrill Oeste,35,France,0
1960,Trim 3,aout,27,3,New Zealand,Port Elizabeth,New Zealand tour,1960,New Zealand tour,South Africa,8 - 3,8,South Africa,0,5,Boet Erasmus Stadium,11,South Africa,0
1960,Trim 4,decembre,3,3,South Africa,Cardiff,South Africa tour,1960e61,South Africa tour of Europe,Wales,0 - 3,0,Wales,0,-3,National Stadium,3,South Africa,0
1960,Trim 4,decembre,17,8,South Africa,Dublin,South Africa tour,1960e61,South Africa rugby union tour of Europe,Ireland,3 - 8,3,Ireland,0,-5,Lansdowne Road,11,South Africa,0
1961,Trim 1,janvier,7,0,Scotland,Colombes,Five Nations Championship,1961,Five Nations Championship,France,11 - 0,11,France,0,11,Stade Yves-du-Manoir,11,France,0
1961,Trim 1,janvier,7,5,South Africa,London,South Africa tour,1960-61,South Africa rugby union tour of Europe,England,0 - 5,0,England,0,-5,Twickenham,5,South Africa,0
1961,Trim 1,janvier,21,3,England,Cardiff,Five Nations Championship,1961,Five Nations Championship,Wales,6 - 3,6,Wales,0,3,Cardiff Arms Park,9,Wales,0
1961,Trim 1,janvier,21,12,South Africa,Edinburgh,South Africa tour,1960e61,South Africa rugby union tour of Europe,Scotland,5 - 12,5,Scotland,0,-7,Murrayfield,17,South Africa,0
1961,Trim 1,fevrier,11,0,Wales,Edinburgh,Five Nations Championship,1961,Five Nations Championship,Scotland,3 - 0,3,Scotland,0,3,Murrayfield Stadium,3,Scotland,0
1961,Trim 1,fevrier,11,8,England,Dublin,Five Nations Championship,1961,Five Nations Championship,Ireland,11 - 8,11,Ireland,0,3,Lansdowne Road,19,Ireland,0
1961,Trim 1,fevrier,18,0,South Africa,Colombes,South Africa tour,1960e61,South Africa rugby union tour of Europe,France,0 - 0,0,France,0,0,Yves-du-Manoir,0,Draw,0
1961,Trim 1,fevrier,25,5,France,London,Five Nations Championship,1961,Five Nations Championship,England,5 - 5,5,England,0,0,Twickenham,10,Draw,0
1961,Trim 1,fevrier,25,8,Ireland,Edinburgh,Five Nations Championship,1961,Five Nations Championship,Scotland,16 - 8,16,Scotland,0,8,Murrayfield Stadium,24,Scotland,0
1961,Trim 1,mars,11,0,Ireland,Cardiff,Five Nations Championship,1961,Five Nations Championship,Wales,9 - 0,9,Wales,0,9,National Stadium,9,Wales,0
1961,Trim 1,mars,18,0,Scotland,London,Five Nations Championship,1961,Five Nations Championship,England,6 - 0,6,England,0,6,Twickenham Stadium,6,England,0
1961,Trim 1,mars,25,6,Wales,Paris,Five Nations Championship,1961,Five Nations Championship,France,8 - 6,8,France,0,2,Stade Colombes,14,France,0
1961,Trim 2,avril,2,0,Italy,Chambery,Test Match,,Test Match,France,17 - 0,17,France,0,17,Stade Municipal,17,France,0
1961,Trim 2,avril,15,15,France,Dublin,Five Nations Championship,1961,Five Nations Championship,Ireland,3 - 15,3,Ireland,0,-12,Lansdowne Road,18,France,0
1961,Trim 2,mai,13,8,Ireland,Cape Town,Ireland tour,1961,Ireland rugby union tour of South Africa,South Africa,24 - 8,24,South Africa,0,16,Newlands,32,South Africa,0
1961,Trim 3,juillet,22,6,France,Auckland,France tour,1961,French tour of New Zealand,New Zealand,13 - 6,13,New Zealand,0,7,Eden Park,19,New Zealand,0
1961,Trim 3,aout,5,3,Australia,Johannesburg,Australia tour,1961,Australia tour of South Africa,South Africa,28 - 3,28,South Africa,0,25,Ellis Park Stadium,31,South Africa,0
1961,Trim 3,aout,5,3,France,Wellington,France tour,1961,French tour of New Zealand,New Zealand,5 - 3,5,New Zealand,0,2,Athletic Park,8,New Zealand,0
1961,Trim 3,aout,12,11,Australia,Port Elizabeth,Australia tour,1961,Australia tour of South Africa,South Africa,23 - 11,23,South Africa,0,12,Boet Erasmus Stadium,34,South Africa,0
1961,Trim 3,aout,19,3,France,Christchurch,France tour,1961,French tour of New Zealand,New Zealand,32 - 3,32,New Zealand,0,29,Lancaster Park,35,New Zealand,0
1961,Trim 3,aout,26,15,France,Sydney,France tour,1961,France tour of New Zealand and Australia,Australia,8 - 15,8,Australia,0,-7,Sydney Cricket Ground,23,France,0
1962,Trim 1,janvier,13,11,France,Edinburgh,Five Nations Championship,1962,Five Nations Championship,Scotland,3 - 11,3,Scotland,0,-8,Murrayfield,14,France,0
1962,Trim 1,janvier,20,0,Wales,London,Five Nations Championship,1962,Five Nations Championship,England,0 - 0,0,England,0,0,Twickenham,0,Draw,0
1962,Trim 1,fevrier,3,8,Scotland,Cardiff,Five Nations Championship,1962,Five Nations Championship,Wales,3 - 8,3,Wales,0,-5,National Stadium,11,Scotland,0
1962,Trim 1,fevrier,10,0,Ireland,London,Five Nations Championship,1962,Five Nations Championship,England,16 - 0,16,England,0,16,Twickenham,16,England,0
1962,Trim 1,fevrier,24,0,England,Colombes,Five Nations Championship,1962,Five Nations Championship,France,13 - 0,13,France,0,13,Stade Yves-du-Manoir,13,France,0
1962,Trim 1,fevrier,24,20,Scotland,Dublin,Five Nations Championship,1962,Five Nations Championship,Ireland,6 - 20,6,Ireland,0,-14,Lansdowne Road,26,Scotland,0
1962,Trim 1,mars,17,3,England,Edinburgh,Five Nations Championship,1962,Five Nations Championship,Scotland,3 - 3,3,Scotland,0,0,Murrayfield Stadium,6,Draw,0
1962,Trim 1,mars,24,0,France,Cardiff,Five Nations Championship,1962,Five Nations Championship,Wales,3 - 0,3,Wales,0,3,National Stadium,3,Wales,0
1962,Trim 2,avril,14,0,Ireland,Paris,Five Nations Championship,1962,Five Nations Championship,France,11 - 0,11,France,0,11,Colombes,11,France,0
1962,Trim 2,avril,22,6,France,Brescia,Test Match,,Test Match,Italy,3 - 6,3,Italy,0,-3,Stadio Mompiano,9,France,0
1962,Trim 2,mai,26,20,New Zealand,Brisbane,New Zealand tour,1962,New Zealand tour of Australia,Australia,6 - 20,6,Australia,0,-14,Brisbane Exhibition Ground,26,New Zealand,0
